"","regija","leto","vrsta.zemljisca","povrsina"
"78","ms",2013,"kmetijska zemljisca",67487
"79","kp",2010,"kmetijska zemljisca",16946
"80","kp",2013,"kmetijska zemljisca",19054
"81","po",2013,"kmetijska zemljisca",23870
"82","sg",2005,"kmetijska zemljisca",22311
"83","za",2013,"kmetijska zemljisca",5358
"84","ng",2016,"skupaj",62014
"85","slo",2005,"skupaj",921312
"86","ce",2013,"skupaj",126583
"87","ng",2005,"travniki in pašniki",20789
"88","ce",2010,"skupaj",136491
"89","za",2013,"skupaj",13104
"90","mb",2013,"skupaj",119944
"91","mb",2016,"skupaj",115030
"92","nm",2005,"skupaj",104160
"93","lj",2007,"skupaj",136445
"94","nm",2013,"skupaj",97201
"95","nm",2007,"skupaj",96735
"96","kk",2016,"skupaj",53872
"97","ce",2003,"skupaj",142980
"98","ng",2007,"skupaj",68542
"99","nm",2010,"skupaj",96798
"100","ce",2005,"skupaj",140195
"101","za",2016,"skupaj",24267
"102","po",2013,"skupaj",42700
"103","slo",2003,"skupaj",926821
"104","za",2005,"travniki in pašniki",6084
"105","lj",2005,"travniki in pašniki",44946
"106","ce",2003,"travniki in pašniki",51625
"107","ng",2016,"travniki in pašniki",23131
"108","mb",2003,"travniki in pašniki",33218
"109","ng",2016,"kmetijska zemljisca",33986
"110","ms",2016,"kmetijska zemljisca",69185
"111","nm",2013,"kmetijska zemljisca",54703
"112","sg",2013,"kmetijska zemljisca",20851
"113","slo",2007,"kmetijska zemljisca",524167
"114","ms",2007,"skupaj",82043
"115","kp",2003,"skupaj",26477
"116","sg",2003,"kmetijska zemljisca",22057
"117","kk",2010,"skupaj",46251
"118","sg",2010,"skupaj",57717
"119","mb",2003,"skupaj",120554
"120","ms",2003,"skupaj",81843
"121","kk",2007,"skupaj",48313
"122","lj",2005,"skupaj",136458
"123","lj",2013,"skupaj",131309
"124","lj",2010,"skupaj",131079
"125","kk",2005,"travniki in pašniki",15334
"126","kk",2003,"travniki in pašniki",14966
"127","slo",2013,"skupaj",893431
"128","za",2007,"travniki in pašniki",5160
"129","mb",2007,"travniki in pašniki",30649
"130","kp",2013,"travniki in pašniki",10489
"131","kr",2003,"travniki in pašniki",24225
"132","kr",2005,"travniki in pašniki",24427
"133","ng",2013,"kmetijska zemljisca",34100
"134","sg",2007,"travniki in pašniki",16824
"135","ms",2005,"travniki in pašniki",8989
"136","po",2003,"travniki in pašniki",18119
"137","slo",2016,"kmetijska zemljisca",494641
"138","kp",2016,"kmetijska zemljisca",16783
"139","kp",2003,"travniki in pašniki",7628
"140","po",2016,"kmetijska zemljisca",22357
"141","ms",2007,"travniki in pašniki",9502
"142","nm",2013,"travniki in pašniki",34310
"143","kk",2013,"skupaj",46056
"144","mb",2010,"travniki in pašniki",30204
"145","lj",2010,"travniki in pašniki",44807
"146","slo",2007,"travniki in pašniki",288222
"147","ms",2010,"travniki in pašniki",9165
"148","po",2007,"travniki in pašniki",19637
"149","kr",2010,"travniki in pašniki",22589
"150","ng",2010,"travniki in pašniki",21451
"151","kp",2010,"travniki in pašniki",8917
"152","kk",2016,"travniki in pašniki",16051
"153","kr",2016,"travniki in pašniki",23325
"154","nm",2010,"travniki in pašniki",33445
"155","ng",2003,"travniki in pašniki",23810
"156","lj",2007,"travniki in pašniki",46630
"157","kk",2013,"travniki in pašniki",14649
"158","za",2016,"travniki in pašniki",8750
"159","ce",2005,"travniki in pašniki",50365
"160","slo",2016,"skupaj",897650
"161","sg",2016,"travniki in pašniki",17132
"162","ms",2003,"travniki in pašniki",10114
"163","po",2013,"travniki in pašniki",19307
"164","po",2016,"travniki in pašniki",18672
"165","po",2010,"travniki in pašniki",20107
"166","ng",2013,"travniki in pašniki",22195
"167","slo",2003,"travniki in pašniki",285562
"168","mb",2013,"travniki in pašniki",29389
"169","slo",2016,"travniki in pašniki",276244
"170","slo",2013,"travniki in pašniki",276047
"171","kp",2013,"skupaj",26814
"172","kp",2016,"skupaj",23677
"173","ng",2010,"skupaj",63090
"174","sg",2005,"travniki in pašniki",17242
"175","sg",2013,"travniki in pašniki",16982
"176","nm",2016,"travniki in pašniki",32841
"177","sg",2010,"travniki in pašniki",17321
"178","sg",2007,"skupaj",52822
"179","za",2013,"travniki in pašniki",4766
"180","mb",2005,"skupaj",119512
"181","kp",2016,"travniki in pašniki",10152
"182","slo",2005,"gozd",376741
"183","mb",2016,"travniki in pašniki",28517
"184","nm",2007,"travniki in pašniki",33017
"185","lj",2016,"travniki in pašniki",42749
"186","kk",2010,"travniki in pašniki",14448
"187","kr",2007,"travniki in pašniki",24868
"188","po",2005,"travniki in pašniki",18023
"189","sg",2003,"travniki in pašniki",17864
"190","nm",2003,"travniki in pašniki",30805
"191","kr",2003,"skupaj",85329
"192","ce",2016,"skupaj",128685
"193","kp",2007,"skupaj",31379
"194","ce",2007,"travniki in pašniki",50004
"195","kk",2007,"travniki in pašniki",14861
"196","nm",2016,"skupaj",101154
"197","lj",2010,"gozd",63484
"198","nm",2010,"gozd",38524
"199","po",2016,"gozd",20087
"200","ce",2016,"travniki in pašniki",46088
"201","ng",2007,"travniki in pašniki",24185
"202","slo",2010,"travniki in pašniki",277492
"203","sg",2016,"skupaj",55430
"204","slo",2005,"travniki in pašniki",282119
"205","mb",2010,"skupaj",118567
"206","mb",2005,"travniki in pašniki",30113
"207","ms",2016,"travniki in pašniki",8836
"208","kp",2007,"travniki in pašniki",12886
"209","lj",2003,"travniki in pašniki",47273
"210","po",2016,"žita",455
"211","lj",2013,"travniki in pašniki",44872
"212","ce",2013,"travniki in pašniki",46614
"213","nm",2005,"travniki in pašniki",34827
"214","mb",2016,"žita",28968
"215","kr",2013,"travniki in pašniki",24203
"216","slo",2016,"žita",98378
"217","nm",2003,"skupaj",98698
"218","mb",2007,"skupaj",117786
"219","po",2010,"žita",270
"220","ce",2010,"travniki in pašniki",49461
"221","za",2010,"travniki in pašniki",5577
"222","lj",2016,"skupaj",121405
"223","kr",2013,"skupaj",86001
"224","kp",2010,"skupaj",22802
"225","po",2013,"žita",291
"226","po",2007,"žita",268
"227","po",2005,"žita",347
"228","ms",2007,"gozd",14458
"229","kr",2010,"gozd",47919
"230","ng",2005,"gozd",23661
"231","kr",2003,"gozd",48895
"232","kk",2016,"gozd",22439
"233","ms",2010,"gozd",14048
"234","ng",2013,"gozd",25189
"235","kr",2013,"gozd",51052
"236","po",2005,"gozd",17630
"237","slo",2016,"gozd",387868
"238","ng",2003,"gozd",27781
"239","mb",2016,"gozd",33021
"240","kr",2016,"gozd",50558
"241","lj",2007,"gozd",66141
"242","za",2016,"gozd",13487
"243","kp",2016,"gozd",6151
"244","kp",2013,"gozd",6807
"245","za",2013,"gozd",7574
"246","kr",2007,"gozd",49368
"247","nm",2007,"gozd",38786
"248","ce",2007,"gozd",64441
"249","ng",2007,"gozd",28311
"250","ce",2013,"gozd",56288
"251","kp",2007,"gozd",6505
"252","ms",2016,"gozd",14404
"253","ce",2010,"gozd",64208
"254","sg",2013,"gozd",34932
"255","sg",2010,"gozd",34594
"256","kk",2005,"gozd",18484
"257","za",2005,"gozd",9223
"258","ms",2005,"gozd",13716
"259","ce",2005,"gozd",64263
"260","slo",2013,"gozd",375504
"261","kk",2013,"gozd",17537
"262","lj",2013,"gozd",63941
"263","lj",2016,"gozd",59188
"264","kr",2005,"gozd",46888
"265","mb",2005,"gozd",35741
"266","sg",2003,"gozd",36889
"267","kp",2005,"gozd",6444
"268","ng",2010,"gozd",25416
"269","ng",2016,"gozd",27021
"270","nm",2005,"gozd",40667
"271","mb",2010,"gozd",34359
"272","ce",2016,"gozd",61943
"273","ms",2003,"gozd",14882
"274","po",2013,"gozd",18296
"275","za",2010,"gozd",8955
"276","nm",2013,"gozd",40402
"277","ce",2003,"gozd",68754
"278","slo",2003,"gozd",385934
"279","sg",2005,"gozd",32901
"280","mb",2013,"gozd",36460
