"","regija","leto","kmetijske.kulture","povprecni.pridelek"
"732","kr",2020,"travniki in pašniki",6.1
"733","kr",2015,"jabolka",29.5
"734","kr",2010,"trave",8.5
"735","kr",2016,"trave",8.2
"736","kr",2011,"travniki in pašniki",5.6
"737","kr",2017,"grozdje",5.5
"738","kr",2012,"breskve in nektarine",10
"739","kr",2018,"trave",7.4
"740","kr",2013,"lucerna",5.9
"741","kr",2019,"belo zelje",46
"742","kr",2020,"trave",8.9
"743","kr",2015,"detelja",7.9
"744","kr",2010,"belo zelje",51.2
"745","kr",2016,"jabolka",25.8
"746","kr",2011,"trave",8.3
"747","kr",2017,"trave",8.3
"748","kr",2012,"travniki in pašniki",5
"749","kr",2018,"grozdje",8.2
"750","kr",2013,"breskve in nektarine",14.5
"751","kr",2019,"trave",7.4
"752","kr",2014,"lucerna",7.9
"753","kr",2020,"belo zelje",51
"754","kr",2010,"trave",7.7
"755","kr",2016,"detelja",8.5
"756","kr",2011,"belo zelje",35.9
"757","kr",2017,"jabolka",9.5
"758","kr",2012,"trave",7.4
"759","kr",2018,"trave",8.2
"760","kr",2013,"travniki in pašniki",4.4
"761","kr",2019,"grozdje",6.7
"762","kr",2014,"breskve in nektarine",11.9
"763","kr",2020,"trave",7.5
"764","kr",2015,"lucerna",6.9
"765","kr",2010,"grozdje",7.4
"766","kr",2011,"trave",7.4
"767","kr",2017,"detelja",8.2
"768","kr",2012,"belo zelje",44.4
"769","kr",2018,"jabolka",32.2
"770","kr",2013,"trave",5.4
"771","kr",2019,"trave",8.3
"772","kr",2014,"travniki in pašniki",5.6
"773","kr",2020,"grozdje",6.7
"774","kr",2010,"trave",10.3
"775","kr",2016,"lucerna",8.7
"776","kr",2011,"grozdje",7.9
"777","kr",2012,"trave",6.7
"778","kr",2018,"detelja",8
"779","kr",2013,"belo zelje",29
"780","kr",2019,"jabolka",10.6
"781","kr",2014,"trave",8.4
"782","kr",2020,"trave",8.5
"783","kr",2015,"travniki in pašniki",5.9
"784","kr",2010,"jabolka",25.7
"785","kr",2011,"trave",9.1
"786","kr",2017,"lucerna",8.5
"787","kr",2012,"grozdje",5.9
"788","kr",2013,"trave",5.2
"789","kr",2019,"detelja",7.9
"790","kr",2014,"belo zelje",48.3
"791","kr",2020,"jabolka",29.2
"792","kr",2015,"trave",7.9
"793","kr",2010,"detelja",7.5
"794","kr",2016,"travniki in pašniki",6
"795","kr",2011,"jabolka",23.2
"796","kr",2012,"trave",7
"797","kr",2018,"lucerna",8.3
"798","kr",2013,"grozdje",6.3
"799","kr",2014,"trave",7.8
"800","kr",2020,"detelja",8.6
"801","kr",2015,"belo zelje",49.4
"802","kr",2016,"trave",8.3
"803","kr",2011,"detelja",7.3
"804","kr",2017,"travniki in pašniki",5.8
"805","kr",2012,"jabolka",17.2
"806","kr",2013,"trave",6
"807","kr",2019,"lucerna",8.2
"808","kr",2014,"grozdje",6.1
"809","kr",2015,"trave",7.8
"810","kr",2010,"lucerna",7.7
"811","kr",2016,"belo zelje",52.5
"812","kr",2017,"trave",7.9
"813","kr",2012,"detelja",7.8
"814","kr",2018,"travniki in pašniki",5.8
"815","kr",2013,"jabolka",21.7
"816","kr",2014,"trave",8.1
"817","kr",2020,"lucerna",8.8
"818","kr",2015,"grozdje",7.4
"819","kr",2010,"breskve in nektarine",16.3
"820","kr",2016,"trave",7.8
"821","kr",2011,"lucerna",7.7
"822","kr",2017,"belo zelje",52
"823","kr",2018,"trave",8.7
"824","kr",2013,"detelja",5.8
"825","kr",2019,"travniki in pašniki",5.8
"826","kr",2014,"jabolka",25.8
"827","kr",2015,"trave",7.9
"828","kr",2010,"travniki in pašniki",5.9
"829","kr",2016,"grozdje",6.1
"830","nm",2012,"rz in sorzica",3.9
"831","nm",2018,"koruza",48.3
"832","nm",2013,"oljna ogrscica in repica",2.3
"833","nm",2019,"psenica in pira",4.5
"834","nm",2014,"oves",2.8
"835","nm",2020,"koruza",10.7
"836","nm",2015,"buce",0.5
"837","nm",2010,"psenica in pira",3.7
"838","nm",2016,"tritikala",4.3
"839","nm",2011,"koruza",8.1
"840","nm",2017,"krompir",19.7
"841","nm",2018,"jecmen",3.5
"842","nm",2013,"rz in sorzica",1.9
"843","nm",2019,"koruza",42.3
"844","nm",2014,"oljna ogrscica in repica",3.4
"845","nm",2020,"psenica in pira",4.5
"846","nm",2015,"oves",2.8
"847","nm",2010,"koruza",40.5
"848","nm",2016,"buce",0.6
"849","nm",2011,"psenica in pira",4.2
"850","nm",2017,"tritikala",3.9
"851","nm",2012,"koruza",6.3
"852","nm",2018,"krompir",23.2
"853","nm",2019,"jecmen",4
"854","nm",2014,"rz in sorzica",2.8
"855","nm",2020,"koruza",52.2
"856","nm",2015,"oljna ogrscica in repica",3
"857","nm",2010,"jecmen",3.5
"858","nm",2016,"oves",2.6
"859","nm",2011,"koruza",42.6
"860","nm",2017,"buce",0.6
"861","nm",2012,"psenica in pira",4.2
"862","nm",2018,"tritikala",3.9
"863","nm",2013,"koruza",4.9
"864","nm",2019,"krompir",19.6
"865","nm",2020,"jecmen",4.5
"866","nm",2015,"rz in sorzica",4.1
"867","nm",2010,"krompir",21
"868","nm",2016,"oljna ogrscica in repica",2.5
"869","nm",2011,"jecmen",3.8
"870","nm",2017,"oves",2.4
"871","nm",2012,"koruza",35.1
"872","nm",2018,"buce",1
"873","nm",2013,"psenica in pira",2.9
"874","nm",2019,"tritikala",4.1
"875","nm",2014,"koruza",9.1
"876","nm",2020,"krompir",25.1
"877","nm",2010,"tritikala",3.4
"878","nm",2016,"rz in sorzica",3.6
"879","nm",2011,"krompir",24.2
"880","nm",2017,"oljna ogrscica in repica",2.6
"881","nm",2012,"jecmen",3.7
"882","nm",2018,"oves",2.3
"883","nm",2013,"koruza",21.9
"884","nm",2019,"buce",1.2
"885","nm",2014,"psenica in pira",4.3
"886","nm",2020,"tritikala",4.8
"887","nm",2015,"koruza",8.7
"888","nm",2010,"buce",0.7
"889","nm",2011,"tritikala",3.9
"890","nm",2017,"rz in sorzica",3.7
"891","nm",2012,"krompir",23.9
"892","nm",2018,"oljna ogrscica in repica",2.8
"893","nm",2013,"jecmen",2.7
"894","nm",2019,"oves",2.3
"895","nm",2014,"koruza",47.8
"896","nm",2020,"buce",0.8
"897","nm",2015,"psenica in pira",4.3
"898","nm",2010,"oves",2.4
"899","nm",2016,"koruza",10
"900","nm",2011,"buce",0.4
"901","nm",2012,"tritikala",3.8
"902","nm",2018,"rz in sorzica",3.1
"903","nm",2013,"krompir",15.4
"904","nm",2019,"oljna ogrscica in repica",2.9
"905","nm",2014,"jecmen",4
"906","nm",2020,"oves",2.6
"907","nm",2015,"koruza",47.4
"908","nm",2010,"oljna ogrscica in repica",2.4
"909","nm",2016,"psenica in pira",4.3
"910","nm",2011,"oves",2.9
"911","nm",2017,"koruza",5.9
"912","nm",2012,"buce",0.4
"913","nm",2013,"tritikala",2.8
"914","nm",2019,"rz in sorzica",2.2
"915","nm",2014,"krompir",27.3
"916","nm",2020,"oljna ogrscica in repica",2.9
"917","nm",2015,"jecmen",3.9
"918","nm",2010,"rz in sorzica",3.7
"919","nm",2016,"koruza",49.4
"920","nm",2011,"oljna ogrscica in repica",2.4
"921","nm",2017,"psenica in pira",3.8
"922","nm",2012,"oves",2.7
"923","nm",2018,"koruza",10
"924","nm",2013,"buce",0.1
"925","nm",2014,"tritikala",4
"926","nm",2020,"rz in sorzica",3.2
"927","nm",2015,"krompir",26.4
"928","nm",2016,"jecmen",4.1
"929","nm",2011,"rz in sorzica",2.8
"930","nm",2017,"koruza",29.3
"931","nm",2012,"oljna ogrscica in repica",2
"932","nm",2018,"psenica in pira",3.6
"933","nm",2013,"oves",1.9
"934","nm",2019,"koruza",8.8
"935","nm",2014,"buce",0.3
"936","nm",2015,"tritikala",4.4
"937","nm",2010,"koruza",7.4
"938","nm",2016,"krompir",24.6
"939","nm",2017,"jecmen",3.6
"940","nm",2012,"lucerna",6.1
"941","nm",2018,"belo zelje",29.9
"942","nm",2019,"trave",7.3
"943","nm",2014,"detelja",9.1
"944","nm",2020,"travniki in pašniki",6.4
"945","nm",2015,"jabolka",33.6
"946","nm",2010,"trave",6.6
"947","nm",2016,"trave",10.1
"948","nm",2011,"travniki in pašniki",5.1
"949","nm",2017,"grozdje",5.4
"950","nm",2012,"breskve in nektarine",13.1
"951","nm",2018,"trave",8.5
"952","nm",2013,"lucerna",5.8
"953","nm",2019,"belo zelje",25.1
"954","nm",2020,"trave",7.8
"955","nm",2015,"detelja",9.4
"956","nm",2010,"belo zelje",27.8
"957","nm",2016,"jabolka",29.6
"958","nm",2011,"trave",7.3
"959","nm",2017,"trave",6.7
"960","nm",2012,"travniki in pašniki",3.9
"961","nm",2018,"grozdje",8.5
"962","nm",2013,"breskve in nektarine",15
"963","nm",2019,"trave",7.6
"964","nm",2014,"lucerna",9.1
"965","nm",2020,"belo zelje",31.6
"966","nm",2010,"trave",7
"967","nm",2016,"detelja",10.4
"968","nm",2011,"belo zelje",26.3
"969","nm",2017,"jabolka",4.1
"970","nm",2012,"trave",5.4
"971","nm",2018,"trave",9.4
"972","nm",2013,"travniki in pašniki",3.8
"973","nm",2019,"grozdje",7.1
"974","nm",2014,"breskve in nektarine",20.1
"975","nm",2020,"trave",8.9
"976","nm",2015,"lucerna",9.2
"977","nm",2010,"grozdje",9.2
"978","nm",2011,"trave",7.8
"979","nm",2017,"detelja",6.7
"980","nm",2012,"belo zelje",15.2
"981","nm",2018,"jabolka",52.3
"982","nm",2013,"trave",5.3
"983","nm",2019,"trave",8.6
"984","nm",2014,"travniki in pašniki",6
"985","nm",2020,"grozdje",7.1
"986","nm",2015,"breskve in nektarine",17.2
"987","nm",2010,"trave",7.7
"988","nm",2016,"lucerna",10.4
"989","nm",2011,"grozdje",10.5
"990","nm",2012,"trave",5.4
"991","nm",2018,"detelja",9.8
"992","nm",2013,"belo zelje",19.2
"993","nm",2019,"jabolka",18.7
"994","nm",2014,"trave",8.5
"995","nm",2020,"trave",9.7
"996","nm",2015,"travniki in pašniki",6.7
"997","nm",2010,"jabolka",15.2
"998","nm",2016,"breskve in nektarine",10.1
"999","nm",2011,"trave",8.4
"1000","nm",2017,"lucerna",6.7
"1001","nm",2012,"grozdje",7.3
"1002","nm",2013,"trave",5.2
"1003","nm",2019,"detelja",8.8
"1004","nm",2014,"belo zelje",25.9
"1005","nm",2020,"jabolka",35.2
"1006","nm",2015,"trave",8.7
"1007","nm",2010,"detelja",7.5
"1008","nm",2016,"travniki in pašniki",6.6
"1009","nm",2011,"jabolka",12.2
"1010","nm",2017,"breskve in nektarine",3.6
"1011","nm",2012,"trave",6.3
"1012","nm",2018,"lucerna",9
"1013","nm",2013,"grozdje",5.9
"1014","nm",2014,"trave",8.6
"1015","nm",2020,"detelja",9.3
"1016","nm",2015,"belo zelje",26.6
"1017","nm",2016,"trave",9
"1018","nm",2011,"detelja",8.4
"1019","nm",2017,"travniki in pašniki",3.6
"1020","nm",2012,"jabolka",14.6
"1021","nm",2018,"breskve in nektarine",8.5
"1022","nm",2013,"trave",5.5
"1023","nm",2019,"lucerna",9
"1024","nm",2014,"grozdje",5
"1025","nm",2015,"trave",9.2
"1026","nm",2010,"lucerna",8.3
"1027","nm",2016,"belo zelje",29.6
"1028","nm",2017,"trave",5.8
"1029","nm",2012,"detelja",6.3
"1030","nm",2018,"travniki in pašniki",6.6
"1031","nm",2013,"jabolka",9.9
"1032","nm",2019,"breskve in nektarine",15.3
"1033","nm",2014,"trave",8.7
"1034","nm",2020,"lucerna",9.7
"1035","nm",2015,"grozdje",6.9
"1036","nm",2010,"breskve in nektarine",18.5
"1037","nm",2016,"trave",9.4
"1038","nm",2011,"lucerna",8.9
"1039","nm",2017,"belo zelje",18.5
"1040","nm",2018,"trave",7.7
"1041","nm",2013,"detelja",6
"1042","nm",2019,"travniki in pašniki",6.2
"1043","nm",2014,"jabolka",23.5
"1044","nm",2020,"breskve in nektarine",12
"1045","nm",2015,"trave",9.6
"1046","nm",2010,"travniki in pašniki",5
"1047","nm",2016,"grozdje",6.6
"1048","nm",2011,"breskve in nektarine",17.7
"1049","nm",2017,"trave",6
"1050","lj",2017,"jecmen",4.9
"1051","lj",2012,"rz in sorzica",3.1
"1052","lj",2018,"koruza",50.1
"1053","lj",2013,"oljna ogrscica in repica",3.7
"1054","lj",2019,"psenica in pira",4.8
"1055","lj",2014,"oves",3.5
"1056","lj",2020,"koruza",8.5
"1057","lj",2015,"buce",0.9
"1058","lj",2010,"psenica in pira",4.2
"1059","lj",2016,"tritikala",4.8
"1060","lj",2011,"koruza",7.4
"1061","lj",2017,"krompir",25.9
"1062","lj",2018,"jecmen",4.3
"1063","lj",2013,"rz in sorzica",3.3
"1064","lj",2019,"koruza",49.5
"1065","lj",2014,"oljna ogrscica in repica",3.9
"1066","lj",2020,"psenica in pira",4.7
"1067","lj",2015,"oves",3.4
"1068","lj",2010,"koruza",45.1
"1069","lj",2016,"buce",1.2
"1070","lj",2011,"psenica in pira",5
"1071","lj",2017,"tritikala",4.9
"1072","lj",2012,"koruza",6.4
"1073","lj",2018,"krompir",28.1
"1074","lj",2019,"jecmen",4.8
"1075","lj",2014,"rz in sorzica",4
"1076","lj",2020,"koruza",51.7
"1077","lj",2015,"oljna ogrscica in repica",3.4
"1078","lj",2010,"jecmen",4.4
"1079","lj",2016,"oves",3.5
"1080","lj",2011,"koruza",47.9
"1081","lj",2017,"buce",0.8
"1082","lj",2012,"psenica in pira",4.6
"1083","lj",2018,"tritikala",4.1
"1084","lj",2013,"koruza",5.2
"1085","lj",2019,"krompir",24.5
"1086","lj",2020,"jecmen",5.2
"1087","lj",2015,"rz in sorzica",3.4
"1088","lj",2010,"krompir",25.1
"1089","lj",2016,"oljna ogrscica in repica",1.6
"1090","lj",2011,"jecmen",4.5
"1091","lj",2017,"oves",3.5
"1092","lj",2012,"koruza",43.2
"1093","lj",2018,"buce",0.7
"1094","lj",2013,"psenica in pira",3.9
"1095","lj",2019,"tritikala",4.2
"1096","lj",2014,"koruza",8.1
"1097","lj",2020,"krompir",30.1
"1098","lj",2010,"tritikala",4.5
"1099","lj",2016,"rz in sorzica",3.8
"1100","lj",2011,"krompir",27
"1101","lj",2017,"oljna ogrscica in repica",2
"1102","lj",2012,"jecmen",4.5
"1103","lj",2018,"oves",3
"1104","lj",2013,"koruza",34
"1105","lj",2019,"buce",0.7
"1106","lj",2014,"psenica in pira",4.3
"1107","lj",2020,"tritikala",4.7
"1108","lj",2015,"koruza",7.1
"1109","lj",2010,"buce",0.7
"1110","lj",2016,"hmelj",1.7
"1111","lj",2011,"tritikala",4.3
"1112","lj",2017,"rz in sorzica",3.5
"1113","lj",2012,"krompir",24.6
"1114","lj",2018,"oljna ogrscica in repica",2
"1115","lj",2013,"jecmen",3.8
"1116","lj",2019,"oves",2.9
"1117","lj",2014,"koruza",49.5
"1118","lj",2020,"buce",1.4
"1119","lj",2015,"psenica in pira",5
"1120","lj",2010,"oves",3.3
"1121","lj",2016,"koruza",7
"1122","lj",2011,"buce",0.7
"1123","lj",2012,"tritikala",4.5
"1124","lj",2018,"rz in sorzica",2.9
"1125","lj",2013,"krompir",20.2
"1126","lj",2019,"oljna ogrscica in repica",2
"1127","lj",2014,"jecmen",4.6
"1128","lj",2020,"oves",3.2
"1129","lj",2015,"koruza",51.4
"1130","lj",2010,"oljna ogrscica in repica",3
"1131","lj",2016,"psenica in pira",5
"1132","lj",2011,"oves",3
"1133","lj",2017,"koruza",6.3
"1134","lj",2012,"buce",0.5
"1135","lj",2013,"tritikala",3.9
"1136","lj",2019,"rz in sorzica",3.1
"1137","lj",2014,"krompir",26
"1138","lj",2020,"oljna ogrscica in repica",2.2
"1139","lj",2015,"jecmen",4.8
"1140","lj",2010,"rz in sorzica",4.1
"1141","lj",2016,"koruza",50.4
"1142","lj",2011,"oljna ogrscica in repica",3.4
"1143","lj",2017,"psenica in pira",4.7
"1144","lj",2012,"oves",3.1
"1145","lj",2018,"koruza",6.8
"1146","lj",2013,"buce",0.4
"1147","lj",2014,"tritikala",4.8
"1148","lj",2020,"rz in sorzica",3.3
"1149","lj",2015,"krompir",27.5
"1150","lj",2016,"jecmen",4.9
"1151","lj",2011,"rz in sorzica",3.6
"1152","lj",2017,"koruza",45.7
"1153","lj",2012,"oljna ogrscica in repica",3.6
"1154","lj",2018,"psenica in pira",4.5
"1155","lj",2013,"oves",2.9
"1156","lj",2019,"koruza",6.7
"1157","lj",2014,"buce",0.5
"1158","lj",2015,"tritikala",4.7
"1159","lj",2010,"koruza",6.8
"1160","lj",2016,"krompir",27.2
"1161","lj",2017,"trave",6
"1162","lj",2012,"lucerna",5.9
"1163","lj",2018,"belo zelje",36.5
"1164","lj",2019,"trave",6.7
"1165","lj",2014,"detelja",6.1
"1166","lj",2020,"travniki in pašniki",6.6
"1167","lj",2015,"jabolka",33.6
"1168","lj",2010,"trave",6.4
"1169","lj",2016,"trave",6.6
"1170","lj",2011,"travniki in pašniki",5.4
"1171","lj",2017,"grozdje",6.2
"1172","lj",2012,"breskve in nektarine",10
"1173","lj",2018,"trave",6.5
"1174","lj",2013,"lucerna",6.4
"1175","lj",2019,"belo zelje",35.2
"1176","lj",2020,"trave",7.1
"1177","lj",2015,"detelja",6.6
"1178","lj",2010,"belo zelje",46.2
"1179","lj",2016,"jabolka",28.2
"1180","lj",2011,"trave",6.2
"1181","lj",2017,"trave",5.2
"1182","lj",2012,"travniki in pašniki",4.8
"1183","lj",2018,"grozdje",8
"1184","lj",2013,"breskve in nektarine",10
"1185","lj",2019,"trave",7
"1186","lj",2014,"lucerna",7.3
"1187","lj",2020,"belo zelje",35.5
"1188","lj",2010,"trave",7
"1189","lj",2016,"detelja",6.5
"1190","lj",2011,"belo zelje",48.4
"1191","lj",2017,"jabolka",14.8
"1192","lj",2012,"trave",5.3
"1193","lj",2018,"trave",6.5
"1194","lj",2013,"travniki in pašniki",4.5
"1195","lj",2019,"grozdje",6.5
"1196","lj",2014,"breskve in nektarine",11.9
"1197","lj",2020,"trave",7.5
"1198","lj",2015,"lucerna",6.5
"1199","lj",2010,"grozdje",5.9
"1200","lj",2011,"trave",6.7
"1201","lj",2017,"detelja",5.8
"1202","lj",2012,"belo zelje",40.3
"1203","lj",2018,"jabolka",38.6
"1204","lj",2013,"trave",5.8
"1205","lj",2019,"trave",7.2
"1206","lj",2014,"travniki in pašniki",5.4
"1207","lj",2020,"grozdje",6.5
"1208","lj",2015,"breskve in nektarine",17.7
"1209","lj",2010,"trave",6.2
"1210","lj",2016,"lucerna",6.2
"1211","lj",2011,"grozdje",7.2
"1212","lj",2012,"trave",6
"1213","lj",2018,"detelja",6.5
"1214","lj",2013,"belo zelje",42.1
"1215","lj",2019,"jabolka",23.7
"1216","lj",2014,"trave",6
"1217","lj",2020,"trave",7.9
"1218","lj",2015,"travniki in pašniki",5.9
"1219","lj",2010,"jabolka",29.7
"1220","lj",2016,"breskve in nektarine",16.2
"1221","lj",2011,"trave",6.4
"1222","lj",2017,"lucerna",5.5
"1223","lj",2012,"grozdje",4.8
"1224","lj",2013,"trave",6.3
"1225","lj",2019,"detelja",6.9
"1226","lj",2014,"belo zelje",42.7
"1227","lj",2020,"jabolka",32.1
"1228","lj",2015,"trave",6.7
"1229","lj",2010,"detelja",6.5
"1230","lj",2016,"travniki in pašniki",5.9
"1231","lj",2011,"jabolka",34
"1232","lj",2017,"breskve in nektarine",8
"1233","lj",2012,"trave",5.8
"1234","lj",2018,"lucerna",6.3
"1235","lj",2013,"grozdje",5.4
"1236","lj",2014,"trave",7.3
"1237","lj",2020,"detelja",7.7
"1238","lj",2015,"belo zelje",46.1
"1239","lj",2016,"trave",6.6
"1240","lj",2011,"detelja",6.7
"1241","lj",2017,"travniki in pašniki",4.8
"1242","lj",2012,"jabolka",23.3
"1243","lj",2018,"breskve in nektarine",17
"1244","lj",2013,"trave",6.3
"1245","lj",2019,"lucerna",7.6
"1246","lj",2014,"grozdje",4.5
"1247","lj",2015,"trave",7.4
"1248","lj",2010,"lucerna",8.2
"1249","lj",2016,"belo zelje",40.5
"1250","lj",2017,"trave",5.2
"1251","lj",2012,"detelja",5.7
"1252","lj",2018,"travniki in pašniki",5.8
"1253","lj",2013,"jabolka",25.1
"1254","lj",2019,"breskve in nektarine",15.4
"1255","lj",2014,"trave",6.8
"1256","lj",2020,"lucerna",8.1
"1257","lj",2015,"grozdje",7.1
"1258","lj",2010,"breskve in nektarine",16.3
"1259","lj",2016,"trave",7.1
"1260","lj",2011,"lucerna",8
"1261","lj",2017,"belo zelje",37.4
"1262","lj",2018,"trave",6.4
"1263","lj",2013,"detelja",5.7
"1264","lj",2019,"travniki in pašniki",6
"1265","lj",2014,"jabolka",28.8
"1266","lj",2020,"breskve in nektarine",7.9
"1267","lj",2015,"trave",6.7
"1268","lj",2010,"travniki in pašniki",5.8
"1269","lj",2016,"grozdje",3.1
"1270","lj",2011,"breskve in nektarine",12.3
"1271","mb",2020,"koruza",10.5
"1272","mb",2015,"buce",0.7
"1273","mb",2010,"psenica in pira",5
"1274","mb",2016,"tritikala",5.1
"1275","mb",2011,"koruza",9
"1276","mb",2017,"krompir",24
"1277","mb",2012,"hmelj",1.1
"1278","mb",2018,"jecmen",4.5
"1279","mb",2013,"rz in sorzica",4.1
"1280","mb",2019,"koruza",47.5
"1281","mb",2014,"oljna ogrscica in repica",4
"1282","mb",2020,"psenica in pira",5.9
"1283","mb",2015,"oves",3.8
"1284","mb",2010,"koruza",45.2
"1285","mb",2016,"buce",0.7
"1286","mb",2011,"psenica in pira",5.3
"1287","mb",2017,"tritikala",4.8
"1288","mb",2012,"koruza",7.4
"1289","mb",2018,"krompir",26.5
"1290","mb",2013,"hmelj",1.2
"1291","mb",2019,"jecmen",4.6
"1292","mb",2014,"rz in sorzica",4.9
"1293","mb",2020,"koruza",53.3
"1294","mb",2015,"oljna ogrscica in repica",2.5
"1295","mb",2010,"jecmen",4.6
"1296","mb",2016,"oves",3.8
"1297","mb",2011,"koruza",45.7
"1298","mb",2017,"buce",0.5
"1299","mb",2012,"psenica in pira",5.5
"1300","mb",2018,"tritikala",4.7
"1301","mb",2013,"koruza",5.8
"1302","mb",2019,"krompir",25.9
"1303","mb",2014,"hmelj",1.3
"1304","mb",2020,"jecmen",5.9
"1305","mb",2015,"rz in sorzica",4.1
"1306","mb",2010,"krompir",24.4
"1307","mb",2016,"oljna ogrscica in repica",2.6
"1308","mb",2011,"jecmen",4.8
"1309","mb",2017,"oves",3.4
"1310","mb",2012,"koruza",39.7
"1311","mb",2018,"buce",0.8
"1312","mb",2013,"psenica in pira",4.8
"1313","mb",2019,"tritikala",5.1
"1314","mb",2014,"koruza",9.4
"1315","mb",2020,"krompir",29.3
"1316","mb",2015,"hmelj",0.7
"1317","mb",2010,"tritikala",4.2
"1318","mb",2016,"rz in sorzica",5.2
"1319","mb",2011,"krompir",25.6
"1320","mb",2017,"oljna ogrscica in repica",3.2
"1321","mb",2012,"jecmen",4.9
"1322","mb",2018,"oves",3.4
"1323","mb",2013,"koruza",32.5
"1324","mb",2019,"buce",0.6
"1325","mb",2014,"psenica in pira",5.7
"1326","mb",2020,"tritikala",5.7
"1327","mb",2015,"koruza",9.4
"1328","mb",2010,"buce",0.6
"1329","mb",2016,"hmelj",1.6
"1330","mb",2011,"tritikala",4.9
"1331","mb",2017,"rz in sorzica",4.4
"1332","mb",2012,"krompir",23.9
"1333","mb",2018,"oljna ogrscica in repica",2.8
"1334","mb",2013,"jecmen",4.7
"1335","mb",2019,"oves",3.6
"1336","mb",2014,"koruza",46.1
"1337","mb",2020,"buce",0.7
"1338","mb",2015,"psenica in pira",5.5
"1339","mb",2010,"oves",3
"1340","mb",2016,"koruza",9.4
"1341","mb",2011,"buce",0.6
"1342","mb",2017,"hmelj",1
"1343","mb",2012,"tritikala",4.7
"1344","mb",2018,"rz in sorzica",4.6
"1345","mb",2013,"krompir",19.9
"1346","mb",2019,"oljna ogrscica in repica",2.7
"1347","mb",2014,"jecmen",5.2
"1348","mb",2020,"oves",3.7
"1349","mb",2015,"koruza",51
"1350","mb",2010,"oljna ogrscica in repica",2.9
"1351","mb",2016,"psenica in pira",5.7
"1352","mb",2011,"oves",3.4
"1353","mb",2017,"koruza",7.4
"1354","mb",2012,"buce",0.5
"1355","mb",2018,"hmelj",0.9
"1356","mb",2013,"tritikala",4.4
"1357","mb",2019,"rz in sorzica",4.2
"1358","mb",2014,"krompir",24.7
"1359","mb",2020,"oljna ogrscica in repica",3.1
"1360","mb",2015,"jecmen",4.9
"1361","mb",2010,"rz in sorzica",3.9
"1362","mb",2016,"koruza",49.5
"1363","mb",2011,"oljna ogrscica in repica",3.1
"1364","mb",2017,"psenica in pira",5.1
"1365","mb",2012,"oves",3.5
"1366","mb",2018,"koruza",10
"1367","mb",2013,"buce",0.4
"1368","mb",2019,"hmelj",1.4
"1369","mb",2014,"tritikala",5.1
"1370","mb",2020,"rz in sorzica",5.1
"1371","mb",2015,"krompir",27.9
"1372","mb",2010,"hmelj",0.4
"1373","mb",2016,"jecmen",5.3
"1374","mb",2011,"rz in sorzica",4.3
"1375","mb",2017,"koruza",41.7
"1376","mb",2012,"oljna ogrscica in repica",3.3
"1377","mb",2018,"psenica in pira",4.6
"1378","mb",2013,"oves",3.1
"1379","mb",2019,"koruza",9.2
"1380","mb",2014,"buce",0.6
"1381","mb",2020,"hmelj",1.4
"1382","mb",2015,"tritikala",5
"1383","mb",2010,"koruza",8.7
"1384","mb",2016,"krompir",26.5
"1385","mb",2011,"hmelj",1.6
"1386","mb",2017,"jecmen",5.2
"1387","mb",2012,"rz in sorzica",4.6
"1388","mb",2018,"koruza",50.8
"1389","mb",2013,"oljna ogrscica in repica",3.2
"1390","mb",2019,"psenica in pira",5
"1391","mb",2014,"oves",3.6
"1392","mb",2020,"travniki in pašniki",6.6
"1393","mb",2015,"jabolka",32.1
"1394","mb",2010,"trave",8.3
"1395","mb",2016,"trave",7.1
"1396","mb",2011,"travniki in pašniki",6.6
"1397","mb",2017,"grozdje",5.9
"1398","mb",2012,"breskve in nektarine",9.4
"1399","mb",2018,"trave",8.2
"1400","mb",2013,"lucerna",4.5
"1401","mb",2019,"belo zelje",34.7
"1402","mb",2020,"trave",8.2
"1403","mb",2015,"detelja",5.9
"1404","mb",2010,"belo zelje",28.6
"1405","mb",2016,"jabolka",15
"1406","mb",2011,"trave",7.7
"1407","mb",2017,"trave",5.7
"1408","mb",2012,"travniki in pašniki",5.6
"1409","mb",2018,"grozdje",7.7
"1410","mb",2013,"breskve in nektarine",8.8
"1411","mb",2019,"trave",8.3
"1412","mb",2014,"lucerna",6.8
"1413","mb",2020,"belo zelje",36.8
"1414","mb",2010,"trave",8.1
"1415","mb",2016,"detelja",6.2
"1416","mb",2011,"belo zelje",28
"1417","mb",2017,"jabolka",7
"1418","mb",2012,"trave",6
"1419","mb",2018,"trave",7.8
"1420","mb",2013,"travniki in pašniki",4.1
"1421","mb",2019,"grozdje",7.6
"1422","mb",2014,"breskve in nektarine",8.7
"1423","mb",2020,"trave",8.2
"1424","mb",2015,"lucerna",7.4
"1425","mb",2010,"grozdje",5.5
"1426","mb",2011,"trave",7.1
"1427","mb",2017,"detelja",5.6
"1428","mb",2012,"belo zelje",24.8
"1429","mb",2018,"jabolka",32.8
"1430","mb",2013,"trave",4.7
"1431","mb",2019,"trave",7.8
"1432","mb",2014,"travniki in pašniki",6.3
"1433","mb",2020,"grozdje",7.6
"1434","mb",2015,"breskve in nektarine",13.2
"1435","mb",2010,"trave",7.7
"1436","mb",2016,"lucerna",7.2
"1437","mb",2011,"grozdje",7.1
"1438","mb",2012,"trave",5.8
"1439","mb",2018,"detelja",6.7
