"","regija","leto","kmetijske.kulture","povprecni.pridelek"
"75","sg",2017,"krompir",26.3
"76","sg",2011,"koruza",7.8
"77","sg",2014,"koruza",42
"78","sg",2014,"oljna ogrscica in repica",0.9
"79","sg",2019,"koruza",45.6
"80","sg",2013,"rz in sorzica",2.9
"81","sg",2018,"jecmen",4.1
"82","sg",2012,"hmelj",1.7
"83","sg",2015,"psenica in pira",4.4
"84","sg",2020,"buce",0.4
"85","sg",2017,"buce",0.3
"86","sg",2011,"koruza",41.7
"87","sg",2016,"oves",2.8
"88","sg",2010,"jecmen",3.1
"89","sg",2010,"tritikala",3.2
"90","sg",2020,"koruza",47.2
"91","sg",2018,"tritikala",4.2
"92","sg",2012,"psenica in pira",3.8
"93","sg",2016,"hmelj",1.9
"94","sg",2010,"buce",0.8
"95","sg",2015,"koruza",7.3
"96","sg",2020,"tritikala",4.9
"97","sg",2014,"psenica in pira",3.8
"98","sg",2013,"koruza",4
"99","sg",2017,"rz in sorzica",3.4
"100","sg",2011,"tritikala",3.5
"101","sg",2019,"jecmen",5
"102","sg",2013,"hmelj",1.6
"103","sg",2019,"oves",2.9
"104","sg",2013,"jecmen",3.3
"105","sg",2018,"oljna ogrscica in repica",2.2
"106","sg",2012,"krompir",19
"107","sg",2014,"rz in sorzica",2.9
"108","sg",2017,"koruza",7.3
"109","sg",2011,"oves",2.4
"110","sg",2016,"psenica in pira",4.2
"111","sg",2010,"grozdje",6.5
"112","sg",2015,"lucerna",6.9
"113","sg",2015,"oljna ogrscica in repica",2.1
"114","sg",2018,"hmelj",2.3
"115","sg",2012,"buce",0.7
"116","sg",2016,"oljna ogrscica in repica",2.8
"117","sg",2010,"krompir",19
"118","sg",2015,"rz in sorzica",3.4
"119","sg",2020,"jecmen",5.3
"120","sg",2014,"hmelj",2.1
"121","sg",2019,"krompir",24.2
"122","sg",2011,"psenica in pira",3.8
"123","sg",2016,"buce",0.4
"124","sg",2019,"grozdje",6.8
"125","sg",2013,"travniki in pašniki",3.9
"126","sg",2018,"trave",7.6
"127","sg",2018,"krompir",25.5
"128","sg",2012,"koruza",7.5
"129","sg",2017,"tritikala",4.3
"130","sg",2020,"trave",8
"131","sg",2019,"belo zelje",25.8
"132","sg",2017,"trave",7.1
"133","sg",2011,"trave",7.2
"134","sg",2016,"jabolka",5
"135","sg",2010,"belo zelje",25.5
"136","sg",2015,"detelja",6.5
"137","sg",2020,"trave",7.3
"138","sg",2013,"tritikala",3.4
"139","sg",2012,"travniki in pašniki",5.3
"140","sg",2010,"trave",7.9
"141","sg",2010,"rz in sorzica",2.9
"142","sg",2015,"jecmen",4
"143","sg",2014,"krompir",20.5
"144","sg",2019,"rz in sorzica",4
"145","sg",2011,"belo zelje",23.7
"146","sg",2016,"detelja",6.8
"147","sg",2013,"oves",2.3
"148","sg",2013,"lucerna",6.6
"149","sg",2018,"trave",7.5
"150","sg",2012,"trave",6.8
"151","sg",2017,"jabolka",5.3
"152","sg",2014,"buce",0.4
"153","sg",2011,"oljna ogrscica in repica",0.2
"154","sg",2016,"koruza",45.6
"155","sg",2016,"krompir",23.9
"156","sg",2010,"koruza",7.5
"157","sg",2015,"tritikala",4.1
"158","sg",2020,"hmelj",2.4
"159","sg",2018,"grozdje",8
"160","sg",2010,"trave",7.3
"161","sg",2020,"rz in sorzica",4.2
"162","sg",2020,"belo zelje",25.9
"163","sg",2014,"lucerna",6.8
"164","sg",2019,"trave",7.6
"165","sg",2011,"travniki in pašniki",5.9
"166","sg",2016,"trave",7.4
"167","sg",2019,"koruza",8.7
"168","sg",2018,"jabolka",37.7
"169","sg",2018,"psenica in pira",4.3
"170","sg",2012,"oljna ogrscica in repica",3.1
"171","sg",2017,"koruza",43
"172","sg",2017,"grozdje",5.7
"173","sg",2014,"travniki in pašniki",5.2
"174","sg",2019,"trave",7.8
"175","sg",2017,"psenica in pira",4.4
"176","sg",2020,"trave",7.7
"177","sg",2010,"trave",8.9
"178","sg",2015,"breskve in nektarine",17.7
"179","sg",2020,"grozdje",6.8
"180","sg",2018,"koruza",9.2
"181","sg",2012,"oves",2.3
"182","sg",2010,"hmelj",1.9
"183","sg",2015,"krompir",23.7
"184","sg",2019,"lucerna",7.7
"185","sg",2014,"tritikala",3.6
"186","sg",2019,"hmelj",1.9
"187","sg",2013,"buce",0.3
"188","sg",2011,"rz in sorzica",3.1
"189","sg",2016,"jecmen",4
"190","sg",2013,"jabolka",25.8
"191","sg",2013,"trave",4.3
"192","sg",2012,"detelja",7.3
"193","sg",2012,"belo zelje",30.2
"194","sg",2017,"detelja",6.8
"195","sg",2011,"trave",7.5
"196","sg",2013,"belo zelje",20.5
"197","sg",2018,"detelja",7.4
"198","sg",2011,"detelja",7.5
"199","sg",2016,"trave",7.3
"200","sg",2015,"travniki in pašniki",5.3
"201","kp",2019,"trave",4.2
